id,name,characteristic,period_s,phases,flash_s,optic,optic_evidence,rpm,panels,sim_mode,sec_per_turn,turn_source,beam_width_deg,width_source,sectored,flags
satpati-lighthouse,Satpati Lighthouse,Fl(2) w 20 Sec,20,"[0.267, 2.0, 0.267, 17.47]",0.267,revolving,Type: Tideland TRB-220 Marine Rotating Beacon; Rotation Device: Stepper Motor gearless direct drive; R.P.M. 1.5,1.5,4,revolving,40,ledger 1.5 rpm,2.4,ledger horizontal divergence,False,
savaibet-lighthouse,Savaibet Lighthouse,Fl (4)W 30 sec.[(0.3+4.7)3+0.3 +14.7=30 sec.),30,"[0.3, 4.7, 0.3, 4.7, 0.3, 4.7, 0.3, 14.7]",0.3,revolving,Type: Revolving; Rotation Device: Stepper motor; R.P.M. 2,2,4,revolving,30,ledger 2 rpm,4.55,ledger horizontal divergence,False,
simar-lighthouse,Simar Lighthouse,Fl (W) 10Sec. (1 + 9 = 10Sec),10,"[1.0, 9.0]",1,,,,,flashing,,ledger does not state the optic,,,False,
sir-hugh-rose-lighthouse,Sir Hugh Rose Lighthouse,"Fl (1) W 7 Sec (fl 0.35, ec 6.65)",7,"[0.35, 6.65]",0.35,flasher,Type: LED Flasher; 300 mm Acrylic drum optic; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
sister-island-lighthouse,SISTER ISLAND LIGHTHOUSE,"Fl (4) W 20 Sec. (fl 0.5, ec 1.5, fl 0.5, ec 1.5, fl 0.5, ec 1.5, fl0.51, ec 13.5)",20,"[0.5, 1.5, 0.5, 1.5, 0.5, 1.5, 0.51, 13.5]",0.5,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
south-button-lighthouse,South Button Lighthouse,Fl (1) W 15 Sec fl 1.0,15,"[1.0, 14.0]",1.0,flasher,Type: LED Flasher; Rotation Device: 'White Flashing Light'; R.P.M.: NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
south-sentinel-lighthouse,SOUTH SENTINEL LIGHTHOUSE,"Fl (1) W 15 Sec (fl 0.3, ec 14.7 sec)",15,"[0.3, 14.7]",0.3,flasher,Type: LED Flasher; Maxlumina Marine Lantern; R.P.M.: NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
st-george-island-lighthouse,The St. George Island Lighthouse,"Fl. WR (4) ev 20Sec. (fl. 0.5, ec 1.5, fl. 0.5, ec 1.5 fl. 0.5, ec 1.5 fl. 0.5, L.ec 13.5)",20,"[0.5, 1.5, 0.5, 1.5, 0.5, 1.5, 0.5, 13.5]",0.5,flasher,Sealite SL-125/3 LED lantern (Ultra bright 108 LEDs); Rotation Device and R.P.M. blank; horizontal divergence 360°,,,flashing,,ledger: LED flasher / fixed optic,,,True,
strait-island-lighthouse,Strait Island Lighthouse,"Fl (3) W 20 Sec (fl 0.8, ec 1.2) x 2, fl 0.8, ec 15.2",20,"[0.8, 1.2, 0.8, 1.2, 0.8, 15.2]",0.8,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
suhelipar-lighthouse,SUHELIPAR LIGHTHOUSE,Fl (2) White 20Sec,20,"[1.0, 2.0, 1.0, 16.0]",,flasher,Type: LED flasher,,,flashing,,ledger: LED flasher / fixed optic,,,False,
surathkal-lighthouse-and-dgps-station,Surathkal Lighthouse and D.G.P.S Station,"Fl W 10 Sec. (Fl. 0.37, Ec. 9.63)",10,"[0.37, 9.63]",0.37,revolving,Type: Revolving; Rotation Device: Dual stepper motor 40 kg/cm; R.P.M. 2 RPM,2,3,revolving,30,ledger 2 rpm,6.27,ledger horizontal divergence,False,
tadri-lighthouse,Tadri Lighthouse,fl (3)W 20 Sec.,20,"[0.1, 2.0, 0.1, 2.0, 0.1, 15.7]",0.1,revolving,Optic: Revolving beacon; Rotation Device: 2 Nos. Stepper Motors; R.P.M. 3,3,6,revolving,20,ledger 3 rpm,1.5,ledger horizontal divergence,False,ledger lists 6 panels; its rpm and rhythm imply 3
tajpur-lighthouse,Tajpur Lighthouse,Flash (3) White Every 15 Seconds,15,"[0.95, 1.5, 0.95, 1.5, 0.95, 9.15]",,revolving,Speed Of Rotation 3 Rpm; 6 Panels,3,6,revolving,30.0,6 panels × 15 s,1.5,ledger horizontal divergence,False,"3 rpm = 20.0 s per turn, not a whole number of 15 s periods | divergence 1.5° at 30 s/turn gives a 0.12 s flash; ledger says 0.95 s"
tarapur-point-lighthouse,Tarapur Point Lighthouse,"Fl (3)W 30 Sec.(fl.0.4,ec 5.6,fl 0.4, ec.5.6, fl. 0.4, ec.17.6)",30,"[0.4, 5.6, 0.4, 5.6, 0.4, 17.6]",0.4,revolving,Type: Cut and polished revolving; Pedestal: Mercury Float; Rotation Device: Dual Stepper Motor; R.P.M. 2,2,3,revolving,30,ledger 2 rpm,16.72,ledger horizontal divergence,False,divergence 16.72° at 30 s/turn gives a 1.39 s flash; ledger says 0.4 s
thangasseripoint-lighthouse,Thangasseripoint Lighthouse,Group flash of three in every 15 Seconds (0.2+2.8+0.2+2.8+0.2+8.8=15Sec),15,"[0.2, 2.8, 0.2, 2.8, 0.2, 8.8]",0.2,revolving,Optic: Revolving Optic; Rotation Device: 2 Stepper motors 40Kg-cm; R.P.M. 4RPM,4,3,revolving,15,ledger 4 rpm,4.5,ledger horizontal divergence,False,
thinnakara-lighthouse,THINNAKARA LIGHTHOUSE,Fl (W)5 sec,5,"[0.45, 4.55]",,flasher,MBL 160 LED lantern with MF-12 Electronic Flasher; no rotation device listed,,,flashing,,ledger: LED flasher / fixed optic,,,False,
tillanchang-lighthouse,TILLANCHANG LIGHTHOUSE,Fl (1) W 10 Sec (fl 0.8),10,"[0.8, 9.2]",0.8,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
tolkeshwar-point-lighthouse,Tolkeshwar Point Lighthouse,GP fl W (3) every 15 Sec. (W) 0.35+2.65+0.35+2.65+0.35+8.65=15 sec.,15,"[0.35, 2.65, 0.35, 2.65, 0.35, 8.65]",0.35,revolving,Type: Revolving; Rotation Device: Dual Stepper Motor 40 Kgcm; R.P.M. 4,4,3,revolving,15,ledger 4 rpm,8.36,ledger horizontal divergence,False,
tries-island-lighthouse,Tries Island Lighthouse,Fl (4) W 20 Sec,20,"[1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 10.0]",,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
umergam-lighthouse,Umergam Lighthouse,"Fl W 15 Sec. (fl. 0.33, ec. 14.67)",15,"[0.33, 14.67]",0.4,revolving,Type: WM-RB500 Marine Rotating Beacon; Rotation Device: 2 Nos. Stepper Motor; R.P.M. 0.67,0.67,6,revolving,90,ledger 0.67 rpm,1.5,ledger horizontal divergence,False,
uttan-point-lighthouse-and-dgps-station,Uttan Point Lighthouse and DGPS Station,"Fl (2) W 15 Sec. (fl 0.25, ec 3.51, fl 0.25, ec 10.99)",15,"[0.25, 3.51, 0.25, 10.99]",0.25,revolving,Size: 187.5 mm (5th Order) revolving; Rotation Device: Dual Stepper Motor 40 Kg cm; R.P.M. 4,4,2,revolving,15,ledger 4 rpm,16.72,ledger horizontal divergence,False,
vakalapudi-lighthouse,Vakalapudi Lighthouse,"FL(3) white, every 15 sec",15,"[0.19, 1.5, 0.19, 1.5, 0.19, 11.43]",0.19,revolving,Size: 350 mm (4th order) revolving; Rotation Device: Twin stepper motor direct drive; Rotation Speed 4 RPM,4,3,revolving,15,ledger 4 rpm,6.76,ledger horizontal divergence,False,
valiazheekal-lighthouse,Valiazheekal Lighthouse,Flash (3) White-20 seconds (1+2.5+1+2.5+1+12),20,"[1.0, 2.5, 1.0, 2.5, 1.0, 12.0]",1,revolving,Type: Revolving beacon; Rotation Device: 24 volt DC motor; R.P.M. 1,1,6,revolving,60,ledger 1 rpm,6.0,implied by flash duration and rotation,False,ledger lists 6 panels; its rpm and rhythm imply 9
valiyakara-lighthouse,VALIYAKARA LIGHTHOUSE,Fl (1) White 15 Sec,15,"[0.95, 14.05]",,flasher,"Optic MBL-160, Type: LED Flasher",,,flashing,,ledger: LED flasher / fixed optic,,,False,
valsad-khadi-lighthouse,Valsad Khadi Lighthouse,Fl(4)W 20 sec,20,"[0.5, 2.0, 0.5, 2.0, 0.5, 2.0, 0.5, 12.0]",0.5,revolving,Type: ZL-LSRB-26 Revolving LED; Rotation Device: Inbuilt Direct drive brushless DC motor; R.P.M. 3 RPM,3,4,revolving,20,ledger 3 rpm,5,ledger horizontal divergence,False,
vembar-lighthouse,Vembar Lighthouse,Flash (3) White Every 10 Seconds,10,"[1.25, 1.0, 1.25, 1.0, 1.25, 4.25]",1.25,revolving,Optic: APRB-288AC-2PL-006 Rotating Beacon; Rotation Device: Inbuilt stepper motor; R.P.M. 6,6,3,revolving,10,ledger 6 rpm,45.0,implied by flash duration and rotation,False,
vengurla-point-lighthouse,Vengurla Point Lighthouse,Flash red every 5sec.,5,"[0.45, 4.55]",,revolving,Optic: Revolving 3rd order; Rotation Device: Stepper Motor+Controller; R.P.M. 3,3,3,revolving,20,ledger 3 rpm,6,ledger horizontal divergence,False,ledger lists 3 panels; its rpm and rhythm imply 4
vengurla-rocks-lighthouse,Vengurla Rocks Lighthouse,Fl (2)W 20S,20,"[0.18, 2.0, 0.18, 17.64]",0.18,revolving,Optic: Revolving; Rotation Device: Dual stepper Motor; R.P.M. 1.5,1.5,2,revolving,40,ledger 1.5 rpm,1.5,ledger horizontal divergence,False,ledger lists 2 panels; its rpm and rhythm imply 4
veraval-lighthouse,Veraval Lighthouse,F l W15 Sec. (10+5=15 Sec),15,"[10.0, 5.0]",10,flasher,Size: 1000 mm drum optic; Pedestal: Fixed Large Size; Rotation Device: N/A; R.P.M.: N/A,,,flashing,,ledger: LED flasher / fixed optic,,,False,
vizhinjam-lighthouse,VIZHINJAM LIGHTHOUSE,Fl(White)- 15 seconds (FL- 0.55 + ec-14.5 sec),15,"[0.55, 14.5]",0.55,revolving,Optic: Revolving Beacon; Rotation Device: Dual Stepper motor; R.P.M. 4/3 RPM,1.333,3,revolving,45,ledger 1.333 rpm,4.45,ledger horizontal divergence,False,
vodarevu-lighthouse,Vodarevu Lighthouse,"Gp FL (2) White, every 15 Seconds (Fl 0.6 +ec1.9 + Fl 0.6 + ec 11.9)",15,"[0.6, 1.9, 0.6, 11.9]",0.6,revolving,4TH Order Revolving; twin stepper motor rotation device; Rotation Speed 1 RPM,1,4,revolving,60,ledger 1 rpm,3.41,ledger horizontal divergence,False,ledger lists 4 panels; its rpm and rhythm imply 8
vypin-lighthouse,VYPIN LIGHTHOUSE,Fl (4) W 20 sec (fl 0.41),20,"[0.41, 2.92, 0.41, 2.92, 0.41, 2.92, 0.41, 9.6]",0.41,revolving,Rotation Device: Dual Stepper motor (20 Kg cm); R.P.M. 3,3,4,revolving,20,ledger 3 rpm,11.46,ledger horizontal divergence,False,
wasi-borsi-lighthouse,Wasi Borsi Lighthouse,"fl W 7 Sec. (fl 0.54, ec 6.46)",7,"[0.54, 6.46]",0.54,revolving,Type: revolving type; Rotation Device: Dual Stepper Motor; R.P.M. 2.14 (one revolution in 28 sec.),2.14,4,revolving,28,ledger 2.14 rpm,2,ledger horizontal divergence,False,divergence 2° at 28 s/turn gives a 0.16 s flash; ledger says 0.54 s
wilson-island-lighthouse,Wilson Island Lighthouse,"Fl (2) W 20 Sec (fl 1.0, ec 3.0, fl 1, ec 15)",20,"[1.0, 3.0, 1.0, 15.0]",1.0,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
kelshi-lighthouse,Kelshi (Anjarle) Lighthouse,white flash every 15 s,15.0,"[0.95, 14.05]",,,,,,flashing,,no DGLL ledger online,,,,
rawal-pir-lighthouse,Rawal Pir Lighthouse,green flash every 3 s,3.0,"[0.35000000000000003, 2.65]",,,,,,flashing,,no DGLL ledger online,,,,
mahe-lighthouse,Mahe Lighthouse,two white flashes every 10 s,10.0,"[0.7, 1.0, 0.7, 7.6]",,,,,,flashing,,no DGLL ledger online,,,,
